"dataset","time_point","Side","m_A_orig","m_B_orig","v_A_orig","v_B_orig","A_val_orig","delta_orig","n_pooled_t_orig","n_Welch_t_orig","n_WMW_orig","n_welch_z_orig","n_pooled_z_orig","m_A_manual","m_B_manual","v_A_manual","v_B_manual","A_val_manual","delta_manual","n_pooled_t_manual","n_Welch_t_manual","n_WMW_manual","n_welch_z_manual","n_pooled_z_manual","n_pooled_t_diff","n_Welch_t_diff","n_WMW_diff","n_welch_z_diff","n_pooled_z_diff"
"D1","10","One-Sided",5.6,9.6,16.8,10.8,0.2,-4,12,12,12,11,11,5.6,9.6,16.8,10.8,0.2,-4,12,12,12,11,11,0,0,0,0,0
"D1","10","Two-Sided",5.6,9.6,16.8,10.8,0.2,-4,15,15,15,14,14,5.6,9.6,16.8,10.8,0.2,-4,15,15,15,14,14,0,0,0,0,0
"D1","13","One-Sided",6.4,9.6,30.8,10.8,0.22,-3.2,26,26,14,26,26,6.4,9.6,30.8,10.8,0.22,-3.2,26,26,14,26,26,0,0,0,0,0
"D1","13","Two-Sided",6.4,9.6,30.8,10.8,0.22,-3.2,33,34,17,32,32,6.4,9.6,30.8,10.8,0.22,-3.2,33,34,17,32,32,0,0,0,0,0
"D1","15","One-Sided",6.8,11,34.7,17,0.28,-4.2,19,19,22,19,19,6.8,11,34.7,17,0.28,-4.2,19,19,22,19,19,0,0,0,0,0
"D1","15","Two-Sided",6.8,11,34.7,17,0.28,-4.2,25,25,28,24,24,6.8,11,34.7,17,0.28,-4.2,25,25,28,24,24,0,0,0,0,0
"D1","17","One-Sided",8,26,29.5,170.5,0.1,-18,5,6,7,4,4,8,26,29.5,170.5,0.1,-18,5,6,7,4,4,0,0,0,0,0
"D1","17","Two-Sided",8,26,29.5,170.5,0.1,-18,6,7,9,5,5,8,26,29.5,170.5,0.1,-18,6,7,9,5,5,0,0,0,0,0
"D1","20","One-Sided",9,37.2,27,351.2,0.02,-28.2,4,5,5,3,3,9,37.2,27,351.2,0.02,-28.2,4,5,5,3,3,0,0,0,0,0
"D1","20","Two-Sided",9,37.2,27,351.2,0.02,-28.2,5,6,6,4,4,9,37.2,27,351.2,0.02,-28.2,5,6,6,4,4,0,0,0,0,0
"D1","22","One-Sided",12.4,56.6,69.3,694.8,0.04,-44.2,4,4,5,3,3,12.4,56.6,69.3,694.8,0.04,-44.2,4,4,5,3,3,0,0,0,0,0
"D1","22","Two-Sided",12.4,56.6,69.3,694.8,0.04,-44.2,5,5,7,4,4,12.4,56.6,69.3,694.8,0.04,-44.2,5,5,7,4,4,0,0,0,0,0
"D1","8","One-Sided",5.4,7.8,14.3,7.2,0.34,-2.4,24,24,41,24,24,5.4,7.8,14.3,7.2,0.34,-2.4,24,24,41,24,24,0,0,0,0,0
"D1","8","Two-Sided",5.4,7.8,14.3,7.2,0.34,-2.4,31,31,52,30,30,5.4,7.8,14.3,7.2,0.34,-2.4,31,31,52,30,30,0,0,0,0,0
"D1","D10-D3","One-Sided",5,9,17.5,9,0.2,-4,11,12,12,11,11,5,9,17.5,9,0.2,-4,11,12,12,11,11,0,0,0,0,0
"D1","D10-D3","Two-Sided",5,9,17.5,9,0.2,-4,15,15,15,13,13,5,9,17.5,9,0.2,-4,15,15,15,13,13,0,0,0,0,0
"D1","D10-D6","One-Sided",-0.4,3.8,11.3,5.7,0.14,-4.2,7,7,8,6,6,-0.4,3.8,11.3,5.7,0.14,-4.2,7,7,8,6,6,0,0,0,0,0
"D1","D10-D6","Two-Sided",-0.4,3.8,11.3,5.7,0.14,-4.2,9,9,11,8,8,-0.4,3.8,11.3,5.7,0.14,-4.2,9,9,11,8,8,0,0,0,0,0
"D1","D10-D8","One-Sided",0.2,1.8,4.7,2.7,0.3,-1.6,19,19,26,18,18,0.2,1.8,4.7,2.7,0.3,-1.6,19,19,26,18,18,0,0,0,0,0
"D1","D10-D8","Two-Sided",0.2,1.8,4.7,2.7,0.3,-1.6,24,24,33,23,23,0.2,1.8,4.7,2.7,0.3,-1.6,24,24,33,23,23,0,0,0,0,0
"D1","D13-D3","One-Sided",5.8,9,29.7,9,0.22,-3.2,25,25,14,24,24,5.8,9,29.7,9,0.22,-3.2,25,25,14,24,24,0,0,0,0,0
"D1","D13-D3","Two-Sided",5.8,9,29.7,9,0.22,-3.2,31,31,17,30,30,5.8,9,29.7,9,0.22,-3.2,31,31,17,30,30,0,0,0,0,0
"D1","D13-D6","One-Sided",0.4,3.8,30.3,5.7,0.3,-3.4,20,21,26,20,20,0.4,3.8,30.3,5.7,0.3,-3.4,20,21,26,20,20,0,0,0,0,0
"D1","D13-D6","Two-Sided",0.4,3.8,30.3,5.7,0.3,-3.4,26,26,33,25,25,0.4,3.8,30.3,5.7,0.3,-3.4,26,26,33,25,25,0,0,0,0,0
"D1","D13-D8","One-Sided",1,1.8,19.5,2.7,0.42,-0.8,216,216,162,215,215,1,1.8,19.5,2.7,0.42,-0.8,216,216,162,215,215,0,0,0,0,0
"D1","D13-D8","Two-Sided",1,1.8,19.5,2.7,0.42,-0.8,274,274,205,273,273,1,1.8,19.5,2.7,0.42,-0.8,274,274,205,273,273,0,0,0,0,0
"D1","D15-D13","One-Sided",0.4,1.4,5.3,5.3,0.34,-1,67,67,41,66,66,0.4,1.4,5.3,5.3,0.34,-1,67,67,41,66,66,0,0,0,0,0
"D1","D15-D13","Two-Sided",0.4,1.4,5.3,5.3,0.34,-1,85,85,52,84,84,0.4,1.4,5.3,5.3,0.34,-1,85,85,52,84,84,0,0,0,0,0
"D1","D15-D3","One-Sided",6.2,10.4,33.2,14.3,0.24,-4.2,18,18,16,17,17,6.2,10.4,33.2,14.3,0.24,-4.2,18,18,16,17,17,0,0,0,0,0
"D1","D15-D3","Two-Sided",6.2,10.4,33.2,14.3,0.24,-4.2,23,23,20,22,22,6.2,10.4,33.2,14.3,0.24,-4.2,23,23,20,22,22,0,0,0,0,0
"D1","D15-D6","One-Sided",0.8,5.2,47.2,17.2,0.24,-4.4,22,22,16,21,21,0.8,5.2,47.2,17.2,0.24,-4.4,22,22,16,21,21,0,0,0,0,0
"D1","D15-D6","Two-Sided",0.8,5.2,47.2,17.2,0.24,-4.4,28,28,20,27,27,0.8,5.2,47.2,17.2,0.24,-4.4,28,28,20,27,27,0,0,0,0,0
"D1","D15-D8","One-Sided",1.4,3.2,31.3,10.7,0.4,-1.8,81,81,104,81,81,1.4,3.2,31.3,10.7,0.4,-1.8,81,81,104,81,81,0,0,0,0,0
"D1","D15-D8","Two-Sided",1.4,3.2,31.3,10.7,0.4,-1.8,103,103,131,102,102,1.4,3.2,31.3,10.7,0.4,-1.8,103,103,131,102,102,0,0,0,0,0
"D1","D17-D10","One-Sided",2.4,16.4,16.3,113.8,0.12,-14,5,6,8,5,5,2.4,16.4,16.3,113.8,0.12,-14,5,6,8,5,5,0,0,0,0,0
"D1","D17-D10","Two-Sided",2.4,16.4,16.3,113.8,0.12,-14,7,7,10,6,6,2.4,16.4,16.3,113.8,0.12,-14,7,7,10,6,6,0,0,0,0,0
"D1","D17-D13","One-Sided",1.6,16.4,7.3,113.8,0.06,-14.8,5,5,6,4,4,1.6,16.4,7.3,113.8,0.06,-14.8,5,5,6,4,4,0,0,0,0,0
"D1","D17-D13","Two-Sided",1.6,16.4,7.3,113.8,0.06,-14.8,6,7,7,5,5,1.6,16.4,7.3,113.8,0.06,-14.8,6,7,7,5,5,0,0,0,0,0
"D1","D17-D15","One-Sided",1.2,15,4.7,98.5,0.06,-13.8,5,5,6,4,4,1.2,15,4.7,98.5,0.06,-13.8,5,5,6,4,4,0,0,0,0,0
"D1","D17-D15","Two-Sided",1.2,15,4.7,98.5,0.06,-13.8,6,7,7,5,5,1.2,15,4.7,98.5,0.06,-13.8,6,7,7,5,5,0,0,0,0,0
"D1","D17-D3","One-Sided",7.4,25.4,27.3,157.3,0.06,-18,5,5,6,4,4,7.4,25.4,27.3,157.3,0.06,-18,5,5,6,4,4,0,0,0,0,0
"D1","D17-D3","Two-Sided",7.4,25.4,27.3,157.3,0.06,-18,6,7,7,5,5,7.4,25.4,27.3,157.3,0.06,-18,6,7,7,5,5,0,0,0,0,0
"D1","D17-D6","One-Sided",2,20.2,51.5,152.7,0.1,-18.2,5,5,7,4,4,2,20.2,51.5,152.7,0.1,-18.2,5,5,7,4,4,0,0,0,0,0
"D1","D17-D6","Two-Sided",2,20.2,51.5,152.7,0.1,-18.2,6,7,9,5,5,2,20.2,51.5,152.7,0.1,-18.2,6,7,9,5,5,0,0,0,0,0
"D1","D17-D8","One-Sided",2.6,18.2,35.3,129.7,0.1,-15.6,6,6,7,5,5,2.6,18.2,35.3,129.7,0.1,-15.6,6,6,7,5,5,0,0,0,0,0
"D1","D17-D8","Two-Sided",2.6,18.2,35.3,129.7,0.1,-15.6,7,7,9,6,6,2.6,18.2,35.3,129.7,0.1,-15.6,7,7,9,6,6,0,0,0,0,0
"D1","D20-D10","One-Sided",3.4,27.6,18.8,261.8,0.02,-24.2,4,5,5,3,3,3.4,27.6,18.8,261.8,0.02,-24.2,4,5,5,3,3,0,0,0,0,0
"D1","D20-D10","Two-Sided",3.4,27.6,18.8,261.8,0.02,-24.2,5,6,6,4,4,3.4,27.6,18.8,261.8,0.02,-24.2,5,6,6,4,4,0,0,0,0,0
"D1","D20-D13","One-Sided",2.6,27.6,10.8,261.8,0,-25,4,5,5,3,3,2.6,27.6,10.8,261.8,0,-25,4,5,5,3,3,0,0,0,0,0
"D1","D20-D13","Two-Sided",2.6,27.6,10.8,261.8,0,-25,5,6,6,4,4,2.6,27.6,10.8,261.8,0,-25,5,6,6,4,4,0,0,0,0,0
"D1","D20-D15","One-Sided",2.2,26.2,12.2,249.2,0.02,-24,4,5,5,3,3,2.2,26.2,12.2,249.2,0.02,-24,4,5,5,3,3,0,0,0,0,0
"D1","D20-D15","Two-Sided",2.2,26.2,12.2,249.2,0.02,-24,5,6,6,4,4,2.2,26.2,12.2,249.2,0.02,-24,5,6,6,4,4,0,0,0,0,0
"D1","D20-D17","One-Sided",1,11.2,2,37.7,0,-10.2,4,4,5,3,3,1,11.2,2,37.7,0,-10.2,4,4,5,3,3,0,0,0,0,0
"D1","D20-D17","Two-Sided",1,11.2,2,37.7,0,-10.2,5,6,6,3,3,1,11.2,2,37.7,0,-10.2,5,6,6,3,3,0,0,0,0,0
"D1","D20-D3","One-Sided",8.4,36.6,24.8,332.3,0,-28.2,4,5,5,3,3,8.4,36.6,24.8,332.3,0,-28.2,4,5,5,3,3,0,0,0,0,0
"D1","D20-D3","Two-Sided",8.4,36.6,24.8,332.3,0,-28.2,5,6,6,4,4,8.4,36.6,24.8,332.3,0,-28.2,5,6,6,4,4,0,0,0,0,0
"D1","D20-D6","One-Sided",3,31.4,50.5,314.8,0.04,-28.4,4,5,5,3,3,3,31.4,50.5,314.8,0.04,-28.4,4,5,5,3,3,0,0,0,0,0
"D1","D20-D6","Two-Sided",3,31.4,50.5,314.8,0.04,-28.4,5,6,7,4,4,3,31.4,50.5,314.8,0.04,-28.4,5,6,7,4,4,0,0,0,0,0
"D1","D20-D8","One-Sided",3.6,29.4,35.8,282.8,0.04,-25.8,4,5,5,3,3,3.6,29.4,35.8,282.8,0.04,-25.8,4,5,5,3,3,0,0,0,0,0
"D1","D20-D8","Two-Sided",3.6,29.4,35.8,282.8,0.04,-25.8,5,6,7,4,4,3.6,29.4,35.8,282.8,0.04,-25.8,5,6,7,4,4,0,0,0,0,0
"D1","D22-D10","One-Sided",6.8,47,34.7,568.5,0,-40.2,4,4,5,3,3,6.8,47,34.7,568.5,0,-40.2,4,4,5,3,3,0,0,0,0,0
"D1","D22-D10","Two-Sided",6.8,47,34.7,568.5,0,-40.2,5,5,6,3,3,6.8,47,34.7,568.5,0,-40.2,5,5,6,3,3,0,0,0,0,0
"D1","D22-D13","One-Sided",6,47,15.5,568.5,0,-41,4,4,5,3,3,6,47,15.5,568.5,0,-41,4,4,5,3,3,0,0,0,0,0
"D1","D22-D13","Two-Sided",6,47,15.5,568.5,0,-41,4,5,6,3,3,6,47,15.5,568.5,0,-41,4,5,6,3,3,0,0,0,0,0
"D1","D22-D15","One-Sided",5.6,45.6,9.3,524.3,0,-40,4,4,5,3,3,5.6,45.6,9.3,524.3,0,-40,4,4,5,3,3,0,0,0,0,0
