day after tumor cell injection,Therapie_A,Therapie_A_1,Therapie_A_2,Therapie_A_3,Therapie_A_4,Therapie_B,Therapie_B_1,Therapie_B_2,Therapie_B_3,Therapie_B_4
3,1,0,1,0,1,1,1,1,0,0
6,2,6,1,12,9,6,4,9,4,6
8,2,6,1,9,9,9,6,12,6,6
10,2,6,2,6,12,9,9,15,9,6
13,2,6,4,4,16,9,9,15,9,6
15,4,9,4,1,16,12,12,15,12,4
17,4,9,9,2,16,30,35,40,16,9
20,4,9,12,4,16,42,48,60,20,16
22,6,15,12,4,25,54,80,84,45,20
24,9,35,9,4,56,143,NA,NA,108,25
27,16,50,9,6,100,180,NA,NA,169,25
29,20,NA,12,12,100,NA,NA,NA,NA,25
31,25,NA,12,12,100,NA,NA,NA,NA,36
34,56,NA,30,35,NA,NA,NA,NA,NA,72
36,90,NA,52.5,72,NA,NA,NA,NA,NA,120
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,182
